,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,label
1776,Multiple failed attempts by Congress to repeal or replace Obamacare and a lack of assurance from the U.S. government that it will continue to provide the cost-sharing subsidies mandated under the ACA have made it difficult for insurers to make coverage plans and set premium rates for individual plans for 2018.,https://www.reuters.com/article/usa-healthcare-anthem/update-2-anthem-will-not-sell-individual-obamacare-plans-in-maine-next-year-idUSL2N1M81CM,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
1777,"Multiple studies have attempted to translate the New Green Deal resolution's pledges into concrete policies, but often claim to significantly underestimate the actual costs due to the resolution's vagueness.",https://www.foxnews.com/media/trump-green-new-deal-baby-talk,Fox News,environment,right,Biased,Entirely factual,['claim'],1
1778,"Mulvaney apparently didn’t see this line of inquiry coming, so he was left in an awkward spot: Democrats are trying to embarrass Trump, but his chief of staff has no idea why Trump would be embarrassed by his own tax materials.",http://www.msnbc.com/rachel-maddow-show/why-would-trump-be-embarrassed-his-tax-returns,MSNBC,middle-class,left,Biased,No agreement,['awkward'],1
1779,"Murphy, a leading voice on gun violence since the 2012 Sandy Hook school massacre in his home state of Connecticut, will kick off the group’s “tour” on July 14 with former U.S. Representative Gabby Giffords, who founded the group after she nearly died in an assassination attempt in Arizona in 2011.",https://www.reuters.com/article/us-usa-election-senate-guns/giffords-group-takes-aim-at-key-us-senate-races-in-new-push-for-gun-limits-idUSKBN2481AS,Reuters,gun control,center,Non-biased,Entirely factual,[],0
1783,"My point is that it was a bait-and-switch, and not in a crazed, left-wing state like California. ",https://www.breitbart.com/politics/2020/01/07/nolte-virginia-proves-democrats-top-priority-is-to-confiscate-your-guns/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gun-control,right,Biased,Expresses writer’s opinion,"['bait-and-switch', 'crazed']",1
1784,"n Dr. King's day, that other America was, for a time, laid bare to the nation through mass social unrest and political change, through the bold actions of the freedom fighters who won the Voting Rights Act and then just kept on fighting, as well as governmental programs like the ""War on Poverty.""",https://www.alternet.org/2020/11/joe-biden-mitch-mcconnell/,Alternet,black lives matter,left,Biased,Somewhat factual but also opinionated,[],1
1786,"n the U.S. justice system, prosecutors can present findings to a grand jury to decide if there is sufficient evidence to bring charges against a suspect.",https://www.reuters.com/article/global-race-usa-louisville/lawyer-for-breonna-taylors-family-calls-for-release-of-grand-jury-evidence-idINKCN26G2L3,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
1787,"Nancy Pelosi Proposes 1,400-Page Coronavirus Bill Stuffed with Pork",https://www.breitbart.com/politics/2020/03/23/nancy-pelosi-proposes-1120-page-coronavirus-bill-stuffed-with-pork/,Breitbart,coronavirus,right,Biased,Expresses writer’s opinion,"['with', 'pork']",1
1790,Nations including the Netherlands and France are seeking to convince fellow European countries to end tax exemptions on jet fuel and plane tickets.,https://www.reuters.com/article/us-lufthansa-ceo-idUSKCN1U9062?utm_campaign=trueAnthem%3A+Trending+Content&utm_content=5d2ae4ae8e73cc0001649f1d&utm_medium=trueAnthem&utm_source=twitter,Reuters,taxes,center,Non-biased,Entirely factual,[],0
1791,Nationwide riots have wreaked havoc and destruction across America over the past week in response to the death of Minneapolis man George Floyd in police custody. ,http://feedproxy.google.com/~r/breitbart/~3/ujqvQu5SQyI/,Breitbart,black lives matter,right,Biased,Entirely factual,[],1
1792,"Naturally, of course, right-wingers reacted in the ugliest way possible: By arguing that Thunberg’s identity — as a young person, as a person on the autism spectrum and, although they are careful not to say this directly, as a girl — inherently discredits what she has to say.",https://www.alternet.org/2019/09/why-theyre-scared-of-greta-thunberg-right-wingers-cant-deny-this-climate-activists-truth-in-desperation-theyre-resorting-to-malice-bigotry-and-lies/,Alternet,environment,left,Biased,Somewhat factual but also opinionated,"['ugliest', 'right-wingers']",1
1793,"Naturally, our fake news media and social media overlords attempted to twist the president’s warning into something it wasn’t — a threat, as in If you start looting, my government’s going to start shooting.",http://feedproxy.google.com/~r/breitbart/~3/cT_erPwcnfw/,Breitbart,black lives matter,right,Biased,Expresses writer’s opinion,"['fake', 'overlords', 'Naturally']",1
1795,Navalvny has for years been accusing Putin and his entourage of rampant corruption.,https://www.nbcnews.com/news/world/russian-government-resigns-putin-seeks-constitutional-shakeup-n1116176?cid=public-rss_20200115,MSNBC,international-politics-and-world-news,left,Non-biased,Entirely factual,['rampant'],0
1796,NBA players once again will be sharing personal stories this weekend during All-Star festivities — and using basketball shoes as a platform to get their message out.,http://rssfeeds.usatoday.com/~/596636628/0/usatodaycomnba-topstories~NBA-Fashion-AllStars-break-out-specialty-shoes-for-weekend/,USA Today,sport,center,Non-biased,Entirely factual,[],0
1797,NBA teams bowed their heads and knelt during the playing of the U.S. national anthem while wearing Black Lives Matter T-shirts on Thursday as the league returned for the first time since the coronavirus halted play in March with two thrilling games.,https://www.reuters.com/article/us-basketball-nba/nba-players-protest-racial-injustice-as-league-returns-to-action-idUSKCN24V3RM?utm_medium=Social&utm_source=Twitter,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
1800,"Nearly 60 percent of Americans now support the marginal tax rate program Ocasio-Cortez has proposed uncluding a remarkable 45 percent of Republicans, despite all the work right-wing media has done to demonize Ocasio-Cortez and anything related to her.",https://feeds.feedblitz.com/~/593581096/0/alternet_all~Alexandria-OcasioCortez-is-absolutely-right-%e2%80%94-there-shouldn%e2%80%99t-be-any-billionaires/,Alternet,middle-class,left,Biased,Somewhat factual but also opinionated,['demonize'],1
1801,"Nearly 70 percent of Americans, including a majority of Republicans, want the United States to take “aggressive” action to combat climate change - but only a third would support an extra tax of $100 a year to help, according to a Reuters/Ipsos poll released Wednesday.",https://www.reuters.com/article/us-usa-election-climatechange/americans-demand-climate-action-reuters-poll-idUSKCN1TR15W?feedType=RSS&feedName=topNews,Reuters,taxes,center,Non-biased,Entirely factual,[],0
1803,"Nearly two-thirds of voters think President Donald Trump will be reelected in November, a CBS News poll released Sunday found. ",https://eu.usatoday.com/story/news/politics/elections/2020/02/23/poll-two-thirds-trump-will-win-reeelection/4850074002/,USA Today,elections-2020,center,Non-biased,Entirely factual,[],0
1804,Neither gun companies nor the government releases detailed data on firearm sales or the demographics of buyers.,https://www.reuters.com/article/domesticNews/idUSKBN2701G1?il=4,Reuters,gun control,center,Non-biased,Entirely factual,[],0
1808,"Netflix's statements related to leaving Georgia if fetal heartbeat law goes into effect is the company’s way of firing a warning shot to Georgia and similar states: Conform to our Hollywood ideals and values, or we won’t give you our business.",https://thefederalist.com/2019/06/03/netflix-disney-dont-get-decide-georgias-abortion-laws/#disqus_thread,Federalist,abortion,right,Biased,Somewhat factual but also opinionated,[],1
1810,"Never before have the freewheeling inclinations of some Electoral College members flipped an election, so the impact of the high court's decision may be just mathematical.",https://eu.usatoday.com/story/news/politics/2020/01/17/presidential-elections-supreme-court-weighs-power-voters-electors/2834655001/,USA Today,elections-2020,center,Biased,No agreement,[],1
1811,Never mind the fact that some of Trump’s strongest supporters have had no problem whatsoever in criticizing him for substantive reasons — as in the backlash against his criticism of Attorney General Jeff Sessions. NeverTrumpers still believe themselves to be the unique guardians of conservative orthodoxy and honest punditry.,https://www.breitbart.com/politics/2017/07/25/plan-emerges-nevertrump-primary-trump-2020/,Breitbart,trump-presidency,right,Biased,Expresses writer’s opinion,"['NeverTrumpers', 'punditry', 'guardians']",1
1812,Never Trump leader Rick Wilson’s hypocrisy is not limited to now attacking those who support the Confederate flag after previously supporting it himself.,http://feedproxy.google.com/~r/breitbart/~3/5ZI3bFcWXB4/,Breitbart,taxes,right,Biased,No agreement,['hypocrisy'],1
1813,"Nevertheless, the media jihad continues, and that includes NBC shamelessly running a debunked and deceptive smear story that had been reported on and debunked all the way back in May.",https://www.breitbart.com/the-media/2019/01/23/nbc-fake-news-covington-gay-valedictorian/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gun-control,right,Biased,Expresses writer’s opinion,"['shamelessly', 'debunked', 'deceptive', 'smear', 'jihad', 'story']",1
1815,"Nevertheless, The Jesus Is King crooner launched his presidential campaign on Sunday in South Carolina where he railed against progressive policies such as abortion and gun control.",http://feedproxy.google.com/~r/breitbart/~3/obQ0DQ7mcno/,Breitbart,gun control,right,Biased,Somewhat factual but also opinionated,"['railed', 'crooner']",1
1816,"Nevertheless, Trump and other Republicans have tarred the protests as havens for terrorists intent on destroying property. ",https://www.huffpost.com/entry/trump-black-lives-matter_n_5eda7c30c5b629130d78201b,HuffPost,trump-presidency,left,Biased,Somewhat factual but also opinionated,['tarred'],1
1818,"New laws in Virginia demonstrate that state lawmakers can deliver sweeping gun control measures even in a state where a vocal, well-organized opposition is fierce about protecting its guns and proud of its hunting tradition.",https://feeds.feedblitz.com/~/621997250/0/alternet_all~Amid-pandemic-gun-control-advocates-celebrate-wins-on-NRA%e2%80%99s-home-turf/,Alternet,gun-control,left,Non-biased,Somewhat factual but also opinionated,[],0
1820,"New York Attorney General Letitia James said in her complaint, filed in Manhattan federal court earlier this month, that “PHEAA’s abuses have not only denied these dedicated public servants the benefits they have earned, but have undermined the goals of the loan forgiveness program.”",https://www.huffpost.com/entry/public-service-loan-forgiveness-program-senators-cfpb-investigation_n_5db945d6e4b066da55291b4b,HuffPost,student-debt,left,Non-biased,Entirely factual,[],0
1824,"New York City’s death toll was revised to over 10,000 on Tuesday to include 3,700 deaths that are presumed to be due to the novel coronavirus but never tested, the city health department said.",https://www.reuters.com/article/us-health-coronavirus-usa-nyc/nyc-death-toll-rises-to-10000-as-city-includes-untested-coronavirus-fatalities-idUSKCN21W330,Reuters,coronavirus,center,Non-biased,Entirely factual,[],0
1825,"New York Rep. Alexandria Ocasio-Cortez casually spotlighted her revolutionary rejection of biology, sex, and the male-or-female society during a live Facebook chat in which she was asked about her views on the military draft.",https://www.breitbart.com/politics/2019/04/05/ocasio-cortez-draft-all-genders-for-the-military/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,gender,right,Biased,Somewhat factual but also opinionated,['casually'],1
1826,New York state Sen. Jacobs serves as one of the many Republican congressional primary candidates for New York’s 27th congressional district seat after former Rep. Chris Collins (R-NY) resigned after accusations of insider trading.,http://feedproxy.google.com/~r/breitbart/~3/yw_4_x2Q838/,Breitbart,universal health care,right,Non-biased,Entirely factual,[],0
1827,"New York’s attorney general said on Friday she has settled a lawsuit against three companies accused of tricking struggling borrowers into paying more than $1,000 for student loan debt relief services that were available for free.",https://www.reuters.com/article/new-york-debt-relief-settlements/new-york-obtains-student-loan-debt-relief-fraud-settlements-idUSL1N2D413E,Reuters,student-debt,center,Non-biased,Entirely factual,[],0
1828,"New York’s mayor joined activists on Thursday to paint “Black Lives Matter” in giant yellow letters on the city’s exclusive Fifth Avenue in front of Trump Tower, once the crown jewel in President Donald Trump’s property empire.",https://www.reuters.com/article/us-global-race-trump-tower-mural/trump-tower-gold-doorstep-now-reflects-new-yorks-black-lives-matter-mural-idUSKBN24A37D,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
1829,"New Zealand Prime Minister Jacinda Ardern last month said she’s baffled by America’s failure to pass stricter gun laws, despite the wave of mass shootings that have taken place across the country over the last few decades.",https://www.huffpost.com/entry/mick-mulvaney-virginia-beach-shooting_n_5cf3d5b7e4b0a1997b6bf26c,HuffPost,gun-control,left,Biased,Entirely factual,['baffled'],1
1830,"Newly appointed Justice Brett Kavanaugh, in his individual dissent urging the law to go into effect, tipped his hand, Litman continues — he will rely on “flimsy distinctions” and “ostensibly procedural obstacles” to make obtaining an abortion impossible in states that desire to do so.",https://feeds.feedblitz.com/~/596280522/0/alternet_all~This-law-professor-explains-the-Supreme-Court%e2%80%99s-plan-to-kill-abortion-rights/,Alternet,abortion,left,Non-biased,Entirely factual,[],0
1831,Newly empowered Democrats in Washington and statehouses across the country are flexing their legislative muscle with a host of tax proposals that would affect billionaires and blue collar alike.,http://feeds.foxnews.com/~r/foxnews/politics/~3/Vjs9Fr9BZHs/dems-introduce-host-of-new-tax-proposals-at-state-and-federal-level,Fox News,middle-class,right,Biased,No agreement,"['legislative', 'muscle', 'flexing']",1
1832,"Next came the sob stories. Those student loans are suffocating a generation, the candidates suggested. After all, “40 million of us who can’t start a family,” the diaper-changing daddy Swalwell contradictorily proclaimed, adding that they “Can’t take a good idea and start a business and can’t buy our first home.”",https://thefederalist.com/2019/08/15/student-debt-willingly-took-not-problem-solve/,Federalist,student-debt,right,Biased,Expresses writer’s opinion,"['diaper-changing', 'sob', 'stories', 'daddy']",1
1835,No amount of denial from pro-choicers can change the fact that many post-abortive mothers carry the grief of a severed parent-child bond with them.,https://thefederalist.com/2019/01/28/abortion-doesnt-just-kill-child-psychologically-kills-mother/,Federalist,abortion,right,Non-biased,Expresses writer’s opinion,[],0
1836,No sooner do states start getting together to talk about what it would take to start a rolling economic re-opening than here comes Donald Trump to assert that only he has that authority.,https://feeds.feedblitz.com/~/621974860/0/alternet_all~Donald-Trump-wants-to-claim-%e2%80%98total-authority%e2%80%99-%e2%80%94-but-we-still-don%e2%80%99t-have-anyone-taking-charge/,Alternet,gun control,left,Biased,No agreement,['assert'],1
1837,Nobel laureate Paul Krugman breaks down Trump's anti-working class agenda,https://www.alternet.org/2020/02/he-was-lying-nobel-laureate-paul-krugman-breaks-down-trumps-anti-working-class-agenda/,Alternet,universal health care,left,Biased,Somewhat factual but also opinionated,"['anti-working', 'class']",1
1838,"Noir was reacting to the massive gun-rights rally in Richmond, where thousands of people from across the country protested a push by Democrats in the commonwealth to pass more comprehensive gun control laws.",https://www.foxnews.com/media/gun-rights-activist-says-virginia-gun-laws-all-about-power,Federalist,gun-control,right,Non-biased,Entirely factual,['massive'],0
1839,None of Biden’s Democrat counterparts challenged his claim of economic selflessness.,https://www.breitbart.com/2020-election/2020/02/07/joe-biden-ive-never-focused-on-money-for-me/?utm_source=facebook&utm_medium=social,Breitbart,black lives matter,right,Biased,Somewhat factual but also opinionated,['claim'],1
1841,"North Carolina’s governor called for the removal of Confederate monuments from State Capitol grounds on Saturday, citing public safety after anti-racism protesters in Raleigh pulled two statues down with ropes Friday night.",https://www.reuters.com/article/us-minneapolis-police-juneteenth-washing/north-carolina-governor-orders-confederate-statues-moved-after-several-toppled-idUSKBN23R0GK,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
1842,"Northam, who is leading the push for stronger gun laws in his state, said he wants to avoid a repeat of violence that erupted at a 2017 white supremacist rally in Charlottesville, when a march by white nationalists erupted and led to the death of a counterprotester.",https://www.reuters.com/article/us-usa-guns-rally/warning-of-serious-threats-virginia-governor-bans-weapons-at-gun-rights-rally-idUSKBN1ZE1RM?feedType=RSS&feedName=topNews,Reuters,gun-control,center,Biased,Entirely factual,[],1
1843,"Not content to recede gracefully, or even to steer clear of various conspiracies on par with fluoride and gay frogs, Miss Havisham is still at it. This time, she’s got a righteous burn for President Trump, imagining how John F. Kennedy would have sounded had he written a letter to former Soviet leader Nikita Kruschev along the lines of Trump’s recent letter to Turkish President Recep Erdogan.",https://thefederalist.com/2019/10/21/hillary-clinton-is-poised-to-finally-give-baby-boomers-a-voice-in-presidential-elections/,Federalist,elections-2020,right,Biased,Somewhat factual but also opinionated,"['gay', 'frogs', 'righteous', 'burn']",1
1844,"Not only do most U.S. workers not have that luxury – 29% have the option to work remotely, according to Labor Department data – many have frontline exposure to the virus because their jobs put them in front of people.",https://eu.usatoday.com/story/news/nation/2020/03/05/coronavirus-nurses-airport-employees-cant-work-home-worry-spread/4946660002/,USA Today,coronavirus,center,Non-biased,No agreement,[],0
1845,"Not only would House Bill 2320 rescind the rights for same-sex marriage, it also would cement into law a litany of far right wing extremist claims, including that being LGBTQ is a “mythology,” government recognition of LGBTQ people is “the greatest sham since the inception of American jurisprudence,” and the proposition that there “are no ex-blacks but there are thousands of ex-gays.”",https://www.alternet.org/2019/02/kansas-lawmakers-file-bill-voiding-same-sex-marriages-that-resembles-an-anti-lgbtq-manifesto-of-hate/,Alternet,gender,left,Biased,Somewhat factual but also opinionated,['claims'],1
1846,"Not since the Jim Crow South years have we had to worry about people's physical safety as they approach the polls to cast their vote -- and the ""Four More Years"" folks and other gun-toting Trump supporters have, I fear, just gotten started. ",https://www.alternet.org/2020/10/the-war-trump-started-at-home/,Alternet,gun control,left,Biased,Expresses writer’s opinion,"['gun-toting', '""Four', 'More', 'Years""', 'folks']",1
1847,"Not surprisingly, Bernie Sanders has been among the most vocal, lamenting the lack of centralized control in the American healthcare system.",http://feedproxy.google.com/~r/breitbart/~3/Sqgqe_0xfJE/,Breitbart,universal health care,right,Non-biased,No agreement,"['Not', 'surprisingly', 'lamenting']",0
1849,Notorious crimes committed by illegal aliens — such as the killing of Kate Steinle in 2015 — became national symbols of the lack of immigration enforcement and a general decline in the rule of law.,http://feedproxy.google.com/~r/breitbart/~3/dmYVy0yQGK4/,Breitbart,taxes,right,Biased,Expresses writer’s opinion,"['illegal', 'aliens', 'Notorious']",1
1850,"Novartis AG on Wednesday won highly anticipated U.S. approval for the first of a new type of potent gene-modifying immunotherapy for leukemia, a $475,000 treatment that marks the start of a potential new treatment paradigm for some cancers.",https://uk.reuters.com/article/us-novartis-fda-idUKKCN1BA1ZY?feedType=RSS&amp,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
1852,"Now 25, he sought asylum after fleeing gangs trying to recruit him in his native Honduras, a place where saying “no” can mean execution.",https://www.reuters.com/article/us-usa-immigration-detention/11-toothpaste-immigrants-pay-big-for-basics-at-private-ice-lock-ups-idUSKCN1PC0DJ,Reuters,immigration,center,Non-biased,Entirely factual,[],0
1853,Now a few words for voters inclined to support dictator Donald Trump.,https://feeds.feedblitz.com/~/636033568/0/alternet_all~Ralph-Nader-offers-practical-advice-for-casting-informed-votes/,Alternet,taxes,left,Biased,Expresses writer’s opinion,['dictator'],1
1856,"Now Modi has made international headlines for yet another similarity: He’s constructing a massive wall … but unlike Trump’s goal of keeping immigrants out, Modi’s wall was built to hide the country’s poverty from the gold-plated American president.",https://www.alternet.org/2020/02/india-builds-a-wall-to-hide-its-poor-people-days-before-trumps-visit/,Alternet,international-politics-and-world-news,left,Biased,No agreement,['gold-plated'],1
1857,"Now Republicans, who are working hard to destroy ObamaCare, will not have to face voters on the issue until after the election.",https://www.alternet.org/2020/01/scotus-grants-trump-his-obamacare-wish-high-court-will-not-review-case-to-kill-health-care-law-before-election/,Alternet,universal health care,left,Biased,No agreement,['destroy'],1
1858,Now researchers have offered an explanation: A study published Tuesday in the open peer-reviewed journal Proceedings of the Royal Society B finds that the microorganisms in the wax worm's gut help them consume and metabolize plastics.,https://eu.usatoday.com/story/news/nation/2020/03/06/waxworms-caterpillars-eat-plastic-pollution-but-could-also-hurt-bees/4952495002/,USA Today,environment,center,Non-biased,Entirely factual,[],0
1859,"Now that most of America has begun opening back up without the predicted spikes in coronavirus and Joe Biden has left his basement bunker, Americans are remembering that there’s an election going on. As normalcy quickly returns some places, so to has the battle for 1600 Pennsylvania Avenue.",https://thefederalist.com/2020/05/26/the-mask-is-now-the-political-symbol-of-2020/,Federalist,elections-2020,right,Biased,Somewhat factual but also opinionated,"['basement', 'bunker']",1
1860,"Now that the Supreme Court has ruled on Texas' ridiculous suit against four other states, perhaps we can take stock of what's happened over the past few weeks.",https://www.alternet.org/2020/12/trump-election-2649465068/,Alternet,black lives matter,left,Biased,Expresses writer’s opinion,['ridiculous'],1
1862,"Now today, the San Francisco mindset is still, shall we say, peculiar. It’s a city, after all, where old-money trust-fund types, addled with guilt, have joined with nouveaux riche tech tycoons to create a bizarre overclass ideology that’s a part Karl Marx, one part MSNBC, one part Michel Foucault, and maybe even a little bit of Ayn Rand.",http://feedproxy.google.com/~r/breitbart/~3/NUaYXzQgulQ/,Breitbart,taxes,right,Biased,Expresses writer’s opinion,"['peculiar', 'old-money', 'addled', 'bizarre']",1
1863,Now Trump claims that as president he can wipe out any debt to society for past criminal conduct.,https://www.alternet.org/2020/03/prominent-republicans-mock-trumps-legal-claims-in-supreme-court-brief-and-blow-up-presidents-absolute-immunity-claim/,Alternet,taxes,left,Biased,Somewhat factual but also opinionated,['claims'],1
1864,"Now, the data shows there is an aftershock in the form of the looming tsunami of student debt defaults that will hit communities of color the hardest, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank.",https://www.alternet.org/2019/05/the-real-moral-hazard-is-ignoring-the-student-debt-crisis-and-its-devastating-effect-on-the-economy/,Alternet,student-debt,left,Biased,Somewhat factual but also opinionated,"['aftershock', 'looming', 'tsunami']",1
1865,"Now, Trump’s economic advisers and his unqualified son-in-law Jared Kushner have another way to undermine Social Security: The so-called “Eagle Plan,” which would be more aptly named the Work ’Til You Die Plan.",https://feeds.feedblitz.com/~/623767634/0/alternet_all~Inside-Trump%e2%80%99s-brazen-plot-to-gut-Social-Security/,Alternet,taxes,left,Biased,Expresses writer’s opinion,['unqualified'],1
1866,"Now, with Biden as the Democrat 2020 nominee, and Sen. Kamala Harris (D-CA) as his running mate, the anti-Catholic bias has not only continued, but intensified.",http://feedproxy.google.com/~r/breitbart/~3/wEIhApAIZY0/,Breitbart,universal health care,right,Biased,Expresses writer’s opinion,"['anti-Catholic', 'bias']",1
1867,"Now, with Democrats in control of the House of Representatives after the midterm elections, and with states like New York and Virginia among others pushing boundaries on abortion to extremes, the Republicans in Congress is rolling out a long-term push to force the Democrats to hold a vote on the bill.",https://www.breitbart.com/politics/2019/02/08/exclusive-house-gop-plans-sustained-effort-to-expose-leftist-democrats-on-abortion/amp/?__twitter_impression=true,Breitbart,abortion,right,Non-biased,Somewhat factual but also opinionated,[],0
1868,"Numerous #BlackLivesMatter protests have overwhelmed cities across the country, with many turning violent and resulting in extensive property damage and even deaths, including David Dorn, a retired captain for the St. Louis Police, who was black.",http://feedproxy.google.com/~r/breitbart/~3/EHbABg_HEpg/,Breitbart,black lives matter,right,Non-biased,Entirely factual,[],0
1869,"Numerous gun control proposals have been thwarted in the U.S. Congress, largely because of opposition by Republican lawmakers and the influential National Rifle Association gun rights lobby.",https://www.reuters.com/article/us-usa-court-guns/u-s-supreme-court-rejects-challenge-to-ban-on-gun-bump-stocks-idUSKBN20P259?feedType=RSS&feedName=topNews,Reuters,gun control,center,Biased,Entirely factual,[],1
1870,"Numerous posts claim the virus has been patented — and some even suggest, incorrectly, that the virus was made in a lab and a vaccine already exists.",https://eu.usatoday.com/story/news/nation/2020/01/25/wuhan-coronavirus-bogus-conspiracy-theory-spreads-social-media/4569180002/,USA Today,coronavirus,center,Non-biased,Entirely factual,[],0
1872,"O’Rourke, a native of the U.S.-Mexican border town El Paso, has blasted Trump’s use of tariffs as a “huge mistake” and has vowed to suspend them on his first day in office.",https://www.reuters.com/article/us-usa-election-economy-factobox/factbox-as-trump-touts-economic-gains-democrats-push-for-massive-economic-change-idUSKBN1WP1BX?feedType=RSS&feedName=topNews,Reuters,taxes,center,Biased,Somewhat factual but also opinionated,['blasted'],1
1873,"Obama’s claim that “history” was on his side is arguably false. The massive, historically unprecedented wave of immigrants crashing across the U.S. southern border is a political phenomenon, set in motion by the 1965 Immigration and Nationality Act and accelerated by the Obama administration’s disastrous Deferred Action for Childhood Arrivals (DACA).",https://www.breitbart.com/politics/2015/02/26/obama-to-amnesty-beneficiaries-theres-going-to-be-a-president-rodriguez-someday/,Breitbart,student-debt,right,Biased,Expresses writer’s opinion,"['unprecedented', 'disastrous', 'wave', 'crashing']",1
1874,Obama’s joke about moat with alligators came to mind while reading a newly published report from the New York Times on Donald Trump’s zealotry on border policy.,http://www.msnbc.com/rachel-maddow-show/trump-envisioned-border-moat-stocked-snakes-or-alligators,MSNBC,immigration,left,Biased,No agreement,['zealotry'],1
1875,"Obamacare has been a disaster, with skyrocketing prices, fewer choices, and bipartisan calls for reform. ",http://feedproxy.google.com/~r/breitbart/~3/qUKTWNaIaOg/,Breitbart,universal health care,right,Non-biased,Expresses writer’s opinion,['skyrocketing'],0
1877,"Ocasio-Cortez used this weekend’s news cycle to continue highlighting the evils of wealth inequality, and to draw attention to serious policy fixes for the problem.",https://www.alternet.org/2019/01/alexandria-ocaio-cortez-is-absolutely-right-there-shouldnt-be-any-billionaires/,Alternet,middle-class,left,Biased,Somewhat factual but also opinionated,['evils'],1
1878,"Ocasio-Cortez, sworn in as Congress’ youngest member on Thursday, is one of a number of Democrats who backs the Green New Deal -- which aims to combat both climate change and income inequality with a massive and costly economic overhaul.",https://www.foxnews.com/politics/alexandria-ocasio-cortez-floats-70-percent-tax-on-top-earners-to-fund-green-new-deal,Fox News,environment,right,Non-biased,Entirely factual,[],0
1879,"Ocasio-Cortez, who advocates for democratic socialism, is not the only Democrat in Washington, D.C., honing in on billionaires these days.",https://www.foxbusiness.com/money/aoc-billionaires-ta-nehisi-coates-interview,Fox News,middle-class,right,Non-biased,Entirely factual,[],0
1880,"Ocasio-Cortez, who beat a top Democrat in New York in the 2018 midterm elections, has since become the face of the “Squad,” freshman Democrats aiming to move the party farther left on issues such as healthcare and climate change.",https://www.reuters.com/article/us-usa-election-democrats/expanding-the-squad-u-s-liberals-challenge-moderate-democrats-to-move-party-left-idUSKBN1X00ZY?feedType=RSS&feedName=topNews,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
1881,"Of all the pandering showcased during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top.",https://thefederalist.com/2019/08/15/student-debt-willingly-took-not-problem-solve/,Federalist,student-debt,right,Non-biased,Somewhat factual but also opinionated,['pandering'],0
1884,"Of course Trump doesn’t care about other people, only his ego and his appearance. Reporting from the Associated Press confirms this, as a Thursday article explained Trump told advisers that wearing a mask would “send the wrong message.”",https://www.alternet.org/2020/05/trumps-refusal-to-wear-a-mask-isnt-just-vanity-its-a-manifestation-of-his-fascism/,Alternet,coronavirus,left,Biased,Somewhat factual but also opinionated,"['course', 'ego', 'appearance']",1
1885,"Of course, billionaires and corporations that reaped millions of dollars from the GOP tax cuts pumped some of that windfall into Republican campaigns, allowing Sen. Mitch McConnell, R-Ky., to retain control of the Senate.",https://www.alternet.org/2020/01/follow-the-money-gop-senators-are-making-millions-off-trumps-tax-cuts-and-will-repay-him-by-betraying-their-oath/,Alternet,middle-class,left,Non-biased,Somewhat factual but also opinionated,['pumped'],0
1886,"Of course, not everyone supports this liberal-libertarian liberaltarianism.  To name just one opponent, there’s Donald Trump. ",http://feedproxy.google.com/~r/breitbart/~3/h_wTCa6-K54/,Breitbart,taxes,right,Biased,Expresses writer’s opinion,"['liberaltarianism', 'liberal-libertarian']",1
1887,"Of course, regionally, the Democrat base consists nearly exclusively on top income earners and rich executives who live in metropolitan areas and major cities along the coasts.",https://www.breitbart.com/politics/2019/10/16/dems-rep-rich-working-class-gop/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,middle-class,right,Biased,Expresses writer’s opinion,[],1
1888,"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time. ",https://www.alternet.org/2020/04/why-trump-is-so-eager-to-bring-back-professional-sports/,Alternet,sport,left,Non-biased,Somewhat factual but also opinionated,['long'],0
1889,"Of course, the demands of tolerance are not universal. The strong gods are still suppressed and exiled, and the heretic-hunting inquisitors of diversity have become more paranoid and vindictive in triumph.",https://thefederalist.com/2019/11/08/nationalism-populism-and-saving-ourselves-from-a-dark-future/,Federalist,white-nationalism,right,Biased,Expresses writer’s opinion,"['exiled', 'heretic-hunting', 'vindictive']",1
1890,"Of course, the famously corrupted higher education sports market is a happy NFL partner and crime may pay after all, as it often does in the Trump league.",https://www.alternet.org/2020/04/why-trump-is-so-eager-to-bring-back-professional-sports/,Alternet,sport,left,Biased,Expresses writer’s opinion,['happy'],1
